Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,PF-C,24,TOT,64,18,22.8,3.4,6.7,.502,0.4,1.4,.275,3.0,5.3,.564,.532,1.0,1.6,.610,2.7,4.1,6.8,1.4,0.7,1.0,1.2,1.9,8.1
1,Precious Achiuwa,C,24,TOR,25,0,17.5,3.1,6.8,.459,0.5,1.9,.277,2.6,4.9,.528,.497,1.0,1.7,.571,2.0,3.4,5.4,1.8,0.6,0.5,1.2,1.6,7.7
1,Precious Achiuwa,PF,24,NYK,39,18,26.2,3.5,6.6,.531,0.3,1.1,.273,3.2,5.5,.584,.554,1.0,1.6,.635,3.1,4.5,7.7,1.2,0.7,1.3,1.2,2.1,8.4
2,Bam Adebayo,C,26,MIA,61,61,34.4,7.6,14.7,.518,0.1,0.4,.320,7.5,14.3,.523,.522,4.3,5.8,.753,2.3,8.3,10.6,3.9,1.1,1.0,2.3,2.3,19.7
3,Ochai Agbaji,SG,23,TOT,71,22,20.5,2.3,5.6,.415,0.9,2.8,.305,1.5,2.7,.528,.492,0.4,0.6,.667,0.9,1.8,2.7,1.0,0.6,0.5,0.8,1.4,5.9
3,Ochai Agbaji,SG,23,UTA,51,10,19.7,2.1,4.9,.426,0.9,2.8,.331,1.2,2.1,.551,.520,0.3,0.4,.750,0.7,1.8,2.5,0.9,0.5,0.6,0.7,1.3,5.4
3,Ochai Agbaji,SG,23,TOR,20,12,22.5,2.9,7.3,.397,0.7,2.9,.241,2.2,4.4,.500,.445,0.7,1.1,.591,1.5,1.9,3.4,1.3,0.8,0.5,1.0,1.8,7.2
4,Santi Aldama,PF,23,MEM,59,33,26.6,4.1,9.5,.436,1.8,5.0,.351,2.4,4.5,.532,.530,0.9,1.5,.621,1.2,4.7,5.9,2.3,0.7,0.9,1.2,1.4,10.9
5,Nickeil Alexander-Walker,SG,25,MIN,71,19,23.6,2.7,6.3,.433,1.5,3.9,.382,1.2,2.4,.518,.552,0.6,0.8,.800,0.5,1.6,2.1,2.5,0.8,0.5,0.9,1.8,7.6
6,Grayson Allen,SG,28,PHO,66,66,33.7,4.5,8.8,.509,2.8,5.8,.479,1.7,3.0,.565,.666,1.7,2.0,.884,0.6,3.2,3.8,3.1,0.9,0.6,1.3,2.2,13.5
7,Jarrett Allen,C,25,CLE,67,67,31.7,6.5,10.4,.627,0.0,0.1,.000,6.5,10.3,.632,.627,3.2,4.2,.746,3.2,7.5,10.7,2.7,0.7,1.1,1.6,2.0,16.2
8,Jose Alvarado,PG,25,NOP,51,0,17.8,2.5,6.1,.408,1.3,3.5,.371,1.2,2.6,.458,.515,0.7,1.0,.680,0.4,1.8,2.3,2.1,1.1,0.3,0.7,1.5,6.9
9,Kyle Anderson,PF,30,MIN,68,10,22.9,2.6,5.5,.468,0.1,0.6,.225,2.4,4.9,.497,.480,1.3,1.8,.711,0.8,2.8,3.6,4.2,0.9,0.5,1.2,1.6,6.5
10,Giannis Antetokounmpo,PF,29,MIL,67,67,35.1,11.5,18.7,.614,0.5,1.7,.293,11.0,16.9,.647,.628,7.2,10.9,.660,2.7,8.8,11.4,6.4,1.2,1.0,3.5,2.9,30.6
11,Thanasis Antetokounmpo,PF,31,MIL,29,0,4.7,0.4,0.9,.500,0.0,0.0,.000,0.4,0.9,.520,.500,0.0,0.1,.000,0.2,0.2,0.4,0.5,0.2,0.1,0.4,0.8,0.9
12,Cole Anthony,PG,23,ORL,70,0,23.0,4.1,9.5,.434,1.1,3.3,.321,3.0,6.1,.497,.491,2.4,3.0,.821,0.9,3.1,4.0,3.0,0.8,0.5,1.6,2.3,11.7
13,OG Anunoby,SF,26,TOT,44,44,34.0,5.7,11.5,.492,2.0,5.5,.371,3.7,6.1,.601,.580,1.5,2.0,.767,1.0,3.4,4.3,2.3,1.3,0.7,1.6,2.3,14.9
13,OG Anunoby,SF,26,TOR,27,27,33.3,5.8,11.9,.489,2.3,6.0,.374,3.6,5.9,.608,.584,1.2,1.7,.717,0.9,3.0,3.9,2.7,1.0,0.5,1.6,2.3,15.1
13,OG Anunoby,SF,26,NYK,17,17,35.2,5.5,11.0,.497,1.6,4.5,.364,3.8,6.5,.591,.572,1.9,2.4,.825,1.1,3.9,4.9,1.6,1.7,1.1,1.6,2.4,14.5
14,Ryan Arcidiacono,PG,29,NYK,20,0,2.3,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.4,0.4,0.2,0.1,0.0,0.1,0.3,0.0
15,Deni Avdija,SF,23,WAS,65,65,29.2,5.3,10.4,.509,1.2,3.0,.392,4.1,7.4,.556,.565,2.4,3.3,.726,1.2,5.8,7.0,3.7,0.8,0.4,2.0,2.5,14.2
16,Deandre Ayton,C,25,POR,47,47,32.3,7.3,12.6,.580,0.0,0.1,.333,7.3,12.5,.581,.581,1.2,1.5,.812,3.2,7.9,11.1,1.6,1.0,0.8,1.8,2.1,15.8
17,Udoka Azubuike,C,24,PHO,14,0,7.6,1.1,1.6,.727,0.0,0.0,,1.1,1.6,.727,.727,0.2,0.8,.273,0.8,1.5,2.3,0.2,0.1,0.4,0.3,1.2,2.5
18,Ibou Badji,C,21,POR,19,1,10.8,0.6,1.0,.632,0.0,0.0,,0.6,1.0,.632,.632,0.3,0.5,.500,1.0,1.5,2.5,0.7,0.1,1.1,0.7,2.2,1.5
19,Marvin Bagley III,C,24,TOT,46,22,21.0,4.7,8.2,.581,0.1,0.4,.316,4.6,7.7,.596,.589,2.0,2.7,.754,2.7,3.5,6.1,1.2,0.4,0.7,1.2,1.7,11.6
19,Marvin Bagley III,C,24,DET,26,10,18.4,4.1,7.0,.591,0.0,0.2,.167,4.1,6.7,.606,.594,1.9,2.3,.820,1.8,2.8,4.5,1.0,0.2,0.5,1.1,1.5,10.2
19,Marvin Bagley III,C,24,WAS,20,12,24.4,5.6,9.7,.572,0.3,0.7,.385,5.3,9.1,.586,.585,2.1,3.1,.689,3.9,4.4,8.2,1.4,0.6,0.8,1.3,1.9,13.5
20,Amari Bailey,PG,19,CHO,7,0,4.1,0.4,1.6,.273,0.0,0.7,.000,0.4,0.9,.500,.273,0.1,0.3,.500,0.3,0.0,0.3,0.3,0.1,0.0,0.1,0.0,1.0
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,Patrick Baldwin Jr.,SF,21,WAS,29,3,10.4,1.1,3.3,.347,0.6,1.9,.321,0.5,1.3,.385,.442,0.4,0.7,.684,0.4,2.3,2.7,0.7,0.3,0.4,0.4,1.1,3.3
22,LaMelo Ball,PG,22,CHO,22,22,32.3,8.3,19.2,.433,3.2,9.0,.355,5.1,10.3,.500,.515,4.1,4.7,.865,1.3,3.8,5.1,8.0,1.8,0.2,3.8,3.6,23.9
23,Mo Bamba,C,25,PHI,50,13,13.0,1.6,3.4,.482,0.5,1.1,.418,1.2,2.3,.513,.550,0.5,0.8,.643,1.4,2.7,4.0,0.8,0.4,1.0,0.7,1.8,4.3
24,Paolo Banchero,PF,21,ORL,69,69,34.8,8.1,17.4,.466,1.5,4.2,.365,6.6,13.2,.498,.510,4.9,6.9,.712,1.0,5.7,6.8,5.4,1.0,0.6,3.1,2.0,22.6
25,Desmond Bane,SG,25,MEM,41,41,34.2,8.6,18.5,.464,3.2,8.6,.379,5.3,10.0,.537,.551,3.3,3.8,.865,0.9,3.5,4.4,5.2,1.0,0.5,2.6,2.8,23.7
26,Dalano Banton,PG,24,TOT,45,8,16.3,3.0,7.2,.413,0.9,2.7,.322,2.1,4.5,.468,.474,1.4,1.9,.774,0.8,2.1,2.9,1.7,0.5,0.3,1.1,1.2,8.2
26,Dalano Banton,PG,24,BOS,24,1,7.1,0.8,2.1,.373,0.1,0.7,.125,0.7,1.5,.486,.392,0.7,0.8,.800,0.5,1.0,1.5,0.8,0.2,0.1,0.4,0.8,2.3
26,Dalano Banton,PG,24,POR,21,7,26.7,5.4,12.9,.421,1.8,5.0,.352,3.7,7.9,.464,.489,2.3,3.0,.766,1.1,3.4,4.5,2.8,0.8,0.6,1.9,1.6,15.0
27,Dominick Barlow,PF,20,SAS,32,1,13.0,1.8,3.5,.500,0.1,0.3,.333,1.7,3.2,.515,.513,0.9,1.3,.690,1.4,2.1,3.5,1.1,0.4,0.4,0.3,1.5,4.5
28,Harrison Barnes,PF,31,SAC,72,72,29.2,4.3,8.9,.480,1.9,4.7,.394,2.4,4.1,.577,.585,1.8,2.3,.804,0.8,2.2,2.9,1.2,0.7,0.2,0.7,1.3,12.2
29,Scottie Barnes,SG,22,TOR,60,60,34.9,7.5,15.7,.475,1.7,4.9,.341,5.8,10.8,.536,.528,3.3,4.2,.781,2.4,5.9,8.2,6.1,1.3,1.5,2.8,2.0,19.9
30,RJ Barrett,SG,23,TOT,53,53,31.6,7.3,14.9,.489,1.6,4.4,.369,5.6,10.5,.539,.543,3.4,4.8,.709,0.9,4.4,5.3,3.2,0.5,0.4,2.0,2.2,19.5
30,RJ Barrett,SG,23,NYK,26,26,29.5,6.3,14.9,.423,1.7,5.0,.331,4.7,9.9,.469,.478,4.0,4.8,.831,0.7,3.5,4.3,2.4,0.5,0.3,1.8,1.7,18.2
30,RJ Barrett,SG,23,TOR,27,27,33.7,8.2,14.8,.553,1.6,3.8,.417,6.6,11.0,.599,.606,2.9,4.8,.592,1.0,5.2,6.2,4.0,0.6,0.4,2.2,2.6,20.8
31,Charles Bassey,C,23,SAS,19,0,10.8,1.5,2.1,.725,0.0,0.1,.000,1.5,2.1,.744,.725,0.3,0.3,.833,1.2,2.8,4.0,1.1,0.4,0.9,0.8,1.6,3.3
32,Emoni Bates,SF,20,CLE,13,0,7.8,0.9,2.8,.324,0.7,2.2,.321,0.2,0.7,.333,.446,0.1,0.3,.250,0.1,0.8,0.8,0.5,0.1,0.2,0.2,0.4,2.6
33,Keita Bates-Diop,SF,28,TOT,53,8,12.5,1.4,3.1,.434,0.4,1.3,.304,1.0,1.8,.526,.497,0.6,0.8,.762,0.6,1.5,2.1,0.7,0.5,0.4,0.3,0.7,3.7
33,Keita Bates-Diop,SF,28,PHO,39,8,15.3,1.6,3.8,.427,0.5,1.6,.313,1.1,2.2,.512,.493,0.7,0.9,.722,0.8,1.8,2.6,0.9,0.6,0.5,0.3,0.8,4.5
33,Keita Bates-Diop,SF,28,BRK,14,0,4.9,0.6,1.1,.500,0.1,0.4,.200,0.5,0.8,.636,.531,0.4,0.4,1.000,0.1,0.6,0.6,0.3,0.2,0.1,0.1,0.1,1.6
34,Nicolas Batum,PF,35,TOT,50,34,24.7,1.8,4.0,.450,1.1,2.9,.385,0.7,1.2,.610,.587,0.3,0.4,.714,1.2,2.8,4.0,2.0,0.8,0.7,0.7,1.9,5.0
34,Nicolas Batum,PF,35,LAC,3,0,18.0,1.0,2.7,.375,0.7,2.3,.286,0.3,0.3,1.000,.500,0.0,0.0,,0.0,2.3,2.3,1.7,1.0,1.3,0.3,1.7,2.7
34,Nicolas Batum,PF,35,PHI,47,34,25.1,1.9,4.1,.454,1.1,2.9,.390,0.7,1.2,.603,.590,0.3,0.4,.714,1.3,2.9,4.1,2.1,0.7,0.6,0.7,1.9,5.2
35,Darius Bazley,PF,23,PHI,3,0,3.3,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.3,0.3,0.7,0.0,0.0,0.3,0.0,0.0
36,Bradley Beal,SG,30,PHO,43,43,33.0,7.0,14.0,.503,1.6,4.3,.374,5.4,9.7,.561,.561,2.2,2.8,.798,0.9,3.3,4.1,5.1,1.0,0.3,2.5,2.4,17.9
37,Malik Beasley,SG,27,MIL,69,69,29.8,4.2,9.1,.456,2.9,6.8,.428,1.2,2.3,.538,.616,0.3,0.5,.688,0.6,3.3,3.9,1.4,0.8,0.1,0.7,2.0,11.6
38,MarJon Beauchamp,SF,23,MIL,46,1,12.9,1.6,3.4,.478,0.6,1.6,.389,1.0,1.8,.553,.567,0.4,0.6,.679,0.5,1.6,2.1,0.7,0.3,0.1,0.6,1.2,4.3
39,Jules Bernard,SG,24,WAS,13,0,7.6,1.5,3.5,.413,0.6,1.7,.364,0.8,1.8,.458,.500,0.2,0.5,.500,0.5,0.5,1.1,0.9,0.2,0.1,0.3,0.8,3.8
40,Dāvis Bertāns,PF,31,TOT,33,0,13.6,1.8,4.7,.372,1.5,4.0,.376,0.2,0.7,.348,.532,0.7,0.8,.885,0.2,1.1,1.3,0.8,0.5,0.2,0.3,1.1,5.7
40,Dāvis Bertāns,PF,31,OKC,15,0,6.1,0.7,1.7,.385,0.7,1.6,.417,0.0,0.1,.000,.577,0.9,1.0,.933,0.1,0.5,0.7,0.6,0.2,0.2,0.1,0.7,2.9
40,Dāvis Bertāns,PF,31,CHO,18,0,19.9,2.7,7.2,.369,2.2,6.1,.367,0.4,1.2,.381,.523,0.5,0.6,.818,0.3,1.5,1.8,1.0,0.7,0.3,0.5,1.4,8.1
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
41,Patrick Beverley,PG,35,TOT,66,7,19.6,2.1,5.1,.407,0.8,2.4,.327,1.3,2.7,.480,.485,1.0,1.2,.805,0.6,2.4,3.0,2.8,0.6,0.4,0.9,1.8,5.9
41,Patrick Beverley,PG,35,PHI,47,5,19.6,2.2,5.1,.432,0.7,2.3,.321,1.5,2.8,.523,.504,1.1,1.3,.810,0.6,2.4,3.1,3.1,0.5,0.4,1.0,1.8,6.3
41,Patrick Beverley,PG,35,MIL,19,2,19.6,1.7,4.9,.344,0.9,2.6,.340,0.8,2.3,.349,.435,0.8,1.0,.789,0.6,2.3,2.9,2.2,0.7,0.6,0.7,1.9,5.1
42,Saddiq Bey,SF,24,ATL,63,51,32.7,4.6,11.1,.416,1.8,5.7,.316,2.8,5.4,.522,.497,2.7,3.2,.837,2.7,3.9,6.5,1.5,0.8,0.2,0.9,1.4,13.7
43,Goga Bitadze,C,24,ORL,56,33,16.5,2.2,3.6,.610,0.0,0.2,.154,2.1,3.3,.642,.615,1.0,1.4,.667,1.9,3.0,4.9,1.4,0.5,1.3,0.7,1.8,5.4
44,Onuralp Bitim,SG,24,CHI,16,0,13.8,1.7,3.9,.429,0.6,2.0,.313,1.1,1.9,.548,.508,0.2,0.3,.750,0.4,1.4,1.8,0.7,0.2,0.1,0.4,1.2,4.2
45,Bismack Biyombo,C,31,TOT,36,27,21.0,1.9,3.4,.553,0.0,0.0,,1.9,3.4,.553,.553,0.7,1.4,.480,1.7,3.8,5.5,1.5,0.3,1.0,1.2,2.4,4.4
45,Bismack Biyombo,C,31,MEM,30,27,23.9,2.2,4.0,.563,0.0,0.0,,2.2,4.0,.563,.563,0.7,1.5,.478,1.9,4.5,6.4,1.7,0.3,1.1,1.3,2.7,5.2
45,Bismack Biyombo,C,31,OKC,6,0,6.2,0.2,0.7,.250,0.0,0.0,,0.2,0.7,.250,.250,0.3,0.7,.500,0.5,0.5,1.0,0.3,0.2,0.2,0.7,1.0,0.7
46,Anthony Black,PG,20,ORL,63,33,17.6,1.7,3.7,.460,0.5,1.4,.386,1.2,2.3,.503,.532,0.8,1.2,.623,0.5,1.7,2.2,1.4,0.5,0.3,0.8,1.7,4.7
47,Leaky Black,SF,24,CHO,22,3,9.9,0.8,1.8,.436,0.3,0.7,.467,0.5,1.1,.417,.526,0.4,0.6,.643,0.4,1.4,1.7,0.8,0.2,0.3,0.2,0.7,2.3
48,Buddy Boeheim,SF,24,DET,4,0,11.8,1.8,4.5,.389,1.5,4.0,.375,0.3,0.5,.500,.556,1.3,1.3,1.000,0.3,1.5,1.8,0.8,0.0,0.3,0.0,0.8,6.3
49,Bogdan Bogdanović,SG,31,ATL,68,22,29.8,5.9,13.9,.425,3.1,8.2,.376,2.8,5.6,.495,.536,1.7,1.9,.906,0.6,2.7,3.4,3.0,1.2,0.3,1.3,2.3,16.5
50,Bojan Bogdanović,PF-SF,34,TOT,46,27,28.2,5.7,12.8,.447,2.5,6.4,.393,3.2,6.4,.502,.546,2.3,2.9,.785,0.4,2.5,2.9,2.0,0.6,0.1,2.0,1.9,16.3
50,Bojan Bogdanović,PF,34,DET,28,27,32.9,7.1,15.2,.468,3.1,7.4,.415,4.0,7.8,.518,.569,2.9,3.7,.779,0.5,2.9,3.4,2.5,0.8,0.1,2.3,2.0,20.2
50,Bojan Bogdanović,SF,34,NYK,18,0,20.9,3.6,9.2,.394,1.7,4.9,.341,1.9,4.3,.455,.485,1.4,1.7,.806,0.3,1.9,2.2,1.1,0.3,0.1,1.6,1.7,10.3
51,Bol Bol,PF,24,PHO,34,0,11.2,2.4,3.8,.620,0.5,1.3,.395,1.9,2.5,.733,.686,0.4,0.5,.765,0.8,2.5,3.4,0.4,0.2,0.6,0.4,1.1,5.6
52,Marques Bolden,C,25,TOT,4,0,4.0,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.8,0.8,0.0,0.0,0.0,0.3,0.5,0.0
52,Marques Bolden,C,25,MIL,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0
52,Marques Bolden,C,25,CHO,2,0,6.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0
53,Devin Booker,PG,27,PHO,58,58,35.8,9.7,19.6,.495,2.2,6.0,.364,7.5,13.6,.553,.551,5.8,6.6,.880,0.8,3.9,4.8,6.9,0.9,0.4,2.5,3.1,27.4
54,Brandon Boston Jr.,SF,22,LAC,26,0,8.5,1.6,3.7,.423,0.3,1.2,.300,1.2,2.6,.478,.469,0.6,0.8,.682,0.4,0.7,1.2,0.3,0.2,0.3,0.4,1.0,4.1
55,Chris Boucher,PF,31,TOR,50,0,14.1,2.2,4.3,.507,0.6,1.9,.330,1.6,2.5,.642,.578,1.4,1.8,.772,1.2,2.9,4.1,0.5,0.3,0.5,0.6,1.4,6.4
56,James Bouknight,SG,23,CHO,14,0,5.8,1.3,2.9,.439,0.9,2.1,.433,0.4,0.8,.455,.598,0.1,0.1,.500,0.1,0.6,0.6,0.4,0.1,0.1,0.1,0.2,3.6
57,Jamaree Bouyea,PG,24,POR,6,0,9.5,0.8,3.5,.238,0.0,1.3,.000,0.8,2.2,.385,.238,0.0,0.0,,0.3,1.3,1.7,1.3,0.0,0.0,1.3,0.5,1.7
58,Malaki Branham,PG,20,SAS,67,23,20.3,3.4,8.0,.423,1.1,3.3,.327,2.3,4.7,.490,.491,0.7,0.8,.926,0.4,1.6,1.9,2.1,0.4,0.1,1.1,1.2,8.6
59,Christian Braun,SG,22,DEN,72,2,19.4,2.7,5.7,.467,0.7,1.9,.373,2.0,3.8,.513,.528,1.1,1.7,.689,0.9,2.7,3.6,1.4,0.5,0.4,0.7,1.7,7.2
60,Mikal Bridges,SF,27,BRK,72,72,35.3,7.2,16.3,.438,2.6,7.2,.365,4.5,9.1,.495,.519,3.4,4.3,.810,0.8,3.9,4.7,3.7,1.0,0.4,2.2,1.5,20.4
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
61,Miles Bridges,SF,25,CHO,60,58,37.6,8.2,17.8,.459,2.3,6.5,.352,5.9,11.3,.521,.524,2.5,3.1,.810,1.1,6.4,7.5,3.3,1.0,0.5,2.1,1.8,21.2
62,Oshae Brissett,SF,25,BOS,48,1,11.7,1.2,2.7,.454,0.3,1.1,.294,0.9,1.6,.557,.512,0.9,1.4,.642,1.1,1.8,2.9,0.8,0.3,0.1,0.3,1.0,3.7
63,Izaiah Brockington,PG,24,NOP,1,0,3.0,2.0,5.0,.400,0.0,1.0,.000,2.0,4.0,.500,.400,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0
64,Malcolm Brogdon,PG,31,POR,39,25,28.7,5.6,12.7,.440,2.1,5.1,.412,3.5,7.6,.458,.522,2.4,3.0,.819,0.7,3.1,3.8,5.5,0.7,0.2,1.5,1.5,15.7
65,Armoni Brooks,PG,25,BRK,10,0,10.4,1.5,4.6,.326,1.1,3.2,.344,0.4,1.4,.286,.446,0.1,0.2,.500,0.7,1.1,1.8,0.5,0.1,0.1,0.3,0.3,4.2
66,Dillon Brooks,SF,28,HOU,62,62,30.9,4.6,10.6,.436,1.8,5.0,.364,2.8,5.6,.500,.522,1.8,2.1,.846,0.7,2.7,3.4,1.7,0.9,0.1,1.2,3.3,12.9
67,Bruce Brown,SG-PG,27,TOT,60,42,28.2,4.2,8.9,.466,0.8,2.5,.313,3.4,6.4,.526,.510,1.8,2.2,.846,0.9,3.6,4.4,2.9,0.9,0.3,1.3,2.2,10.9
67,Bruce Brown,SG,27,IND,33,33,29.7,4.5,9.5,.475,1.0,3.1,.327,3.5,6.5,.545,.527,2.0,2.5,.817,0.8,3.9,4.7,3.0,1.1,0.2,1.2,2.5,12.1
67,Bruce Brown,PG,27,TOR,27,9,26.4,3.7,8.1,.455,0.5,1.8,.286,3.2,6.3,.503,.486,1.6,1.8,.896,1.0,3.1,4.1,2.7,0.7,0.3,1.3,1.9,9.5
68,Charlie Brown Jr.,SG,26,NYK,8,0,4.6,0.3,1.3,.200,0.3,0.9,.286,0.0,0.4,.000,.300,0.0,0.0,,0.1,0.1,0.3,0.0,0.0,0.3,0.3,0.6,0.8
69,Greg Brown III,PF,22,DAL,6,0,6.7,0.8,1.8,.455,0.2,0.5,.333,0.7,1.3,.500,.500,0.7,1.5,.444,0.5,1.0,1.5,0.7,0.0,0.7,0.7,0.8,2.5
70,Jaylen Brown,SF,27,BOS,64,64,33.5,9.1,18.0,.503,2.1,5.9,.357,7.0,12.1,.575,.562,3.2,4.5,.699,1.2,4.4,5.6,3.6,1.2,0.5,2.3,2.6,23.4
71,Kendall Brown,SG,20,IND,11,0,3.5,0.5,0.8,.556,0.0,0.1,.000,0.5,0.7,.625,.556,0.4,0.5,.667,0.2,0.1,0.3,0.4,0.0,0.0,0.1,0.4,1.3
72,Kobe Brown,PF,24,LAC,38,0,7.9,0.7,1.7,.400,0.3,1.0,.308,0.4,0.7,.538,.492,0.0,0.1,.500,0.3,1.0,1.2,0.4,0.2,0.1,0.2,1.1,1.7
73,Moses Brown,C,24,POR,18,4,8.6,1.2,2.6,.457,0.0,0.0,,1.2,2.6,.457,.457,0.3,1.1,.250,1.6,2.2,3.8,0.3,0.1,0.3,0.4,1.2,2.6
74,Troy Brown Jr.,SF,24,TOT,49,6,11.9,1.4,3.4,.402,0.8,2.3,.342,0.6,1.1,.527,.518,0.6,0.6,.871,0.4,1.8,2.2,1.0,0.2,0.0,0.5,0.7,4.1
